! #lon(deg), lat(deg), depth(km), dVs(%), dVp(%), drho(%)
106.706 -3.302 5441.000 3.000 0.000 0.000
106.706 -3.302 5451.000 3.000 0.000 0.000
106.706 -3.302 5461.000 3.000 0.000 0.000
106.706 -3.302 5471.000 3.000 0.000 0.000
107.454 -3.302 5371.000 3.000 0.000 0.000
107.454 -3.302 5381.000 3.000 0.000 0.000
107.454 -3.302 5391.000 3.000 0.000 0.000
107.454 -3.302 5401.000 3.000 0.000 0.000
107.454 -3.302 5411.000 3.000 0.000 0.000
107.454 -3.302 5421.000 3.000 0.000 0.000
107.454 -3.302 5431.000 3.000 0.000 0.000
107.454 -3.302 5441.000 3.000 0.000 0.000
107.454 -3.302 5451.000 3.000 0.000 0.000
107.454 -3.302 5461.000 3.000 0.000 0.000
107.454 -3.302 5471.000 3.000 0.000 0.000
108.202 -3.302 5371.000 3.000 0.000 0.000
108.202 -3.302 5381.000 3.000 0.000 0.000
108.202 -3.302 5391.000 3.000 0.000 0.000
108.202 -3.302 5401.000 3.000 0.000 0.000
108.202 -3.302 5411.000 3.000 0.000 0.000
108.202 -3.302 5421.000 3.000 0.000 0.000
108.202 -3.302 5431.000 3.000 0.000 0.000
108.202 -3.302 5441.000 3.000 0.000 0.000
108.202 -3.302 5451.000 3.000 0.000 0.000
108.202 -3.302 5461.000 3.000 0.000 0.000
108.202 -3.302 5471.000 3.000 0.000 0.000
108.950 -3.302 5371.000 3.000 0.000 0.000
108.950 -3.302 5381.000 3.000 0.000 0.000
108.950 -3.302 5391.000 3.000 0.000 0.000
108.950 -3.302 5401.000 3.000 0.000 0.000
108.950 -3.302 5411.000 3.000 0.000 0.000
108.950 -3.302 5421.000 3.000 0.000 0.000
108.950 -3.302 5431.000 3.000 0.000 0.000
108.950 -3.302 5441.000 3.000 0.000 0.000
108.950 -3.302 5451.000 3.000 0.000 0.000
108.950 -3.302 5461.000 3.000 0.000 0.000
108.950 -3.302 5471.000 3.000 0.000 0.000
109.699 -3.302 5371.000 3.000 0.000 0.000
109.699 -3.302 5381.000 3.000 0.000 0.000
109.699 -3.302 5391.000 3.000 0.000 0.000
109.699 -3.302 5401.000 3.000 0.000 0.000
109.699 -3.302 5411.000 3.000 0.000 0.000
109.699 -3.302 5421.000 3.000 0.000 0.000
109.699 -3.302 5431.000 3.000 0.000 0.000
109.699 -3.302 5441.000 3.000 0.000 0.000
109.699 -3.302 5451.000 3.000 0.000 0.000
109.699 -3.302 5461.000 3.000 0.000 0.000
109.699 -3.302 5471.000 3.000 0.000 0.000
110.447 -3.302 5371.000 3.000 0.000 0.000
110.447 -3.302 5381.000 3.000 0.000 0.000
110.447 -3.302 5391.000 3.000 0.000 0.000
110.447 -3.302 5401.000 3.000 0.000 0.000
110.447 -3.302 5411.000 3.000 0.000 0.000
110.447 -3.302 5421.000 3.000 0.000 0.000
110.447 -3.302 5431.000 3.000 0.000 0.000
110.447 -3.302 5441.000 3.000 0.000 0.000
110.447 -3.302 5451.000 3.000 0.000 0.000
110.447 -3.302 5461.000 3.000 0.000 0.000
110.447 -3.302 5471.000 3.000 0.000 0.000
111.195 -3.302 5371.000 3.000 0.000 0.000
